name,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12
E10000032,3,6,1,3,9,9,9,8,10,9,14,20,23,20,19,17,16,32,31,25,21,52,33,27,50,55,39,38,26,27,29,31,34,34,49,41,27,18,25,28,19,30,27,18,14,10,32,25,22,13,11,8,13,5,4,7,3,8,10,13,8
E10000031,3,1,2,8,4,15,8,12,9,7,28,20,14,28,18,27,26,40,20,29,51,39,35,24,37,37,32,40,30,34,22,27,20,28,38,26,42,31,27,24,33,20,34,30,16,29,24,23,17,14,25,10,10,25,13,10,9,5,8,13,7
E10000030,5,9,9,13,19,34,22,26,24,36,50,42,54,55,56,56,49,101,65,92,70,64,69,66,86,117,80,64,82,65,54,95,86,111,71,62,47,39,63,72,47,51,51,28,16,27,32,28,27,25,21,16,20,26,13,13,5,6,11,13,8
E10000029,1,2,6,1,4,4,1,4,9,7,16,10,5,18,20,6,20,23,26,29,21,30,19,31,30,27,38,27,33,27,27,18,21,36,52,31,62,31,58,21,27,41,46,33,25,25,24,19,25,50,12,12,41,15,17,25,5,2,7,27,10
E10000028,6,4,7,8,5,11,13,15,18,14,26,21,38,38,36,22,44,41,41,54,58,47,42,32,41,56,49,57,60,40,35,40,51,55,53,47,46,42,51,55,58,55,48,27,24,36,41,32,31,20,40,13,21,33,29,18,16,6,12,23,22
E10000027,3,2,1,0,0,1,1,3,3,2,4,4,5,7,8,5,4,9,8,8,19,15,6,9,16,10,15,13,16,18,11,14,17,18,31,34,13,8,22,19,16,11,13,9,3,14,10,21,13,9,8,3,13,3,1,4,5,8,11,8,5
E10000025,4,0,5,3,9,7,13,5,6,8,22,23,15,26,28,20,21,39,51,41,69,67,38,49,50,72,58,60,70,31,38,52,52,37,48,47,34,29,35,24,34,44,42,24,23,21,15,12,32,22,15,2,29,55,22,18,31,43,26,28,22
E10000024,4,8,5,5,3,10,9,9,10,7,8,17,17,36,31,30,31,35,40,34,40,40,27,20,30,36,33,52,18,23,28,27,45,29,35,41,14,11,24,14,16,34,24,6,6,35,22,34,21,15,12,4,7,7,10,11,9,7,12,15,13
E10000023,2,1,0,3,2,3,3,8,11,2,13,9,12,12,18,13,14,31,19,32,20,32,27,22,30,32,29,26,24,24,27,26,15,36,24,20,18,14,39,28,22,28,42,18,30,35,29,36,34,22,18,16,30,33,28,15,9,12,5,17,18
E10000021,2,2,1,1,4,0,10,10,7,13,17,16,30,21,20,19,23,53,48,54,51,56,42,34,43,24,33,33,27,34,18,18,33,29,27,15,25,31,15,10,9,12,12,1,10,15,12,15,12,11,10,4,14,7,17,19,11,16,16,35,16
E10000020,6,1,1,6,6,9,3,3,6,6,12,14,12,26,20,23,21,27,25,22,27,42,29,35,47,51,57,53,48,52,40,53,56,55,47,55,39,54,40,43,69,57,47,31,21,52,58,46,52,38,31,45,40,40,44,23,33,11,13,6,44
