name,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26
ain,0,0,0,0,0,0,4,4,8,13,9,1,0,9,2,3,5,5,2,0,9,10,4,4,9,1,0,2,23,11,6,10,7,0,68,19,12,33,7,4,0,14,5,12,13,5,1,0,2,4,2,0,0,0,0,0,3,2,0,0,0,0,4,4,0,3,1,0,0,0,0,3,0,0,0,0,0,0
aisne,0,0,0,0,0,0,0,0,2,1,4,0,0,1,9,3,16,8,2,0,27,34,22,22,23,1,0,33,39,21,17,15,1,0,0,14,17,11,8,1,0,12,15,7,13,4,0,0,6,5,7,2,0,0,0,1,1,6,4,0,0,0,0,6,1,7,0,1,0,1,0,0,0,1,0,0,3,1
allier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0
alpes_de_haute_provence,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,0,0,4,3,5,2,1,0,0,3,0,0,0,2,0,0,0,4,2,5,3,0,0,0,2,1,0,1,0,0,1,2,1,3,0,0,0,1,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hautes_alpes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alpes_maritimes,0,0,0,0,0,0,3,5,4,7,5,0,0,2,11,10,25,9,3,0,33,25,15,7,5,1,0,7,14,4,30,10,0,0,1,1,0,10,5,0,0,1,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ardeche,0,0,0,0,0,0,0,0,16,8,9,1,0,5,4,3,1,2,0,0,8,3,1,0,2,0,0,2,7,4,5,0,0,0,0,7,4,5,10,0,0,4,0,0,2,0,0,0,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ardennes,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,4,2,0,5,5,2,2,5,0,0,1,4,3,12,0,2,1,0,5,1,3,2,5,0,4,4,0,1,2,0,0,0,2,0,2,0,0,0,5,2,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ariege,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aube,0,0,0,0,0,0,1,1,0,0,5,0,0,7,7,19,7,12,2,0,14,18,12,24,14,0,0,12,12,28,26,26,6,0,0,20,21,7,8,0,0,9,10,6,5,3,0,0,0,6,4,5,0,0,0,0,2,1,1,0,0,0,2,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0
aude,0,0,0,0,0,0,1,1,2,5,1,1,0,10,10,7,6,8,1,0,14,8,9,9,7,0,0,2,13,12,8,15,4,0,0,4,0,0,1,0,0,3,3,1,2,1,0,0,1,2,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aveyron,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bouches_du_rhone,0,0,0,0,0,1,3,2,17,22,24,7,3,132,171,160,161,192,20,3,216,133,106,114,81,19,4,153,106,166,102,156,23,1,9,127,112,59,56,12,0,55,34,47,32,30,6,0,34,22,26,21,0,3,0,18,51,21,11,2,1,0,14,14,9,15,1,0,0,6,9,13,0,5,1,0,11,2
calvados,0,0,0,0,0,1,0,0,1,1,4,0,0,13,16,6,15,5,0,0,11,6,6,6,10,0,0,6,5,4,7,2,1,13,0,4,3,6,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
